isin,s_date,close,p_price,r_price,p_rate,r_rate,predict,correct,error
002780,2023-07-07,1243,1248,1268.0,0.4,2.01,0,0,1.58
002785,2023-07-07,5250,5262,5130.0,0.23,-2.29,0,1,2.57
002787,2023-07-07,12200,12203,12210.0,0.02,0.08,0,0,0.06
002790,2023-07-07,25150,25135,25050.0,-0.06,-0.4,0,1,0.34
002795,2023-07-07,10000,10000,9910.0,0.0,-0.9,0,1,0.91
00279K,2023-07-07,19230,19219,19250.0,-0.06,0.1,0,0,0.16
002810,2023-07-07,13000,13006,13040.0,0.05,0.31,0,0,0.26
002820,2023-07-07,2695,2711,2690.0,0.59,-0.19,0,1,0.78
002840,2023-07-07,171300,171210,168800.0,-0.05,-1.46,0,1,1.43
002870,2023-07-07,1005,1007,1010.0,0.2,0.5,0,0,0.3
002880,2023-07-07,658,671,656.0,1.98,-0.3,0,1,2.29
002900,2023-07-07,7170,7169,7300.0,-0.01,1.81,0,0,1.79
002920,2023-07-07,3095,3092,3090.0,-0.1,-0.16,0,1,0.06
002960,2023-07-07,222000,221870,220000.0,-0.06,-0.9,0,1,0.85
002990,2023-07-07,5780,5791,5830.0,0.19,0.87,0,0,0.67
002995,2023-07-07,19300,19298,19190.0,-0.01,-0.57,0,1,0.56
003000,2023-07-07,7000,7015,6930.0,0.21,-1.0,0,1,1.23
003010,2023-07-07,6100,6108,6200.0,0.13,1.64,0,0,1.48
003030,2023-07-07,191000,190808,192500.0,-0.1,0.79,0,0,0.88
003060,2023-07-07,358,355,357.0,-0.84,-0.28,0,1,0.56
003070,2023-07-07,13700,13694,13760.0,-0.04,0.44,0,0,0.48
003075,2023-07-07,21000,20972,20500.0,-0.13,-2.38,0,1,2.3
003080,2023-07-07,3300,3312,3240.0,0.36,-1.82,0,1,2.22
003090,2023-07-07,12060,12068,12130.0,0.07,0.58,0,0,0.51
003120,2023-07-07,25500,25480,25900.0,-0.08,1.57,0,0,1.62
003160,2023-07-07,7610,7609,7270.0,-0.01,-4.47,0,1,4.66
003200,2023-07-07,10040,10035,10100.0,-0.05,0.6,0,0,0.64
003220,2023-07-07,13610,13615,13650.0,0.04,0.29,0,0,0.26
003230,2023-07-07,121700,121667,120400.0,-0.03,-1.07,0,1,1.05
003240,2023-07-07,605000,604530,601000.0,-0.08,-0.66,0,1,0.59
003280,2023-07-07,2130,2113,2245.0,-0.8,5.4,0,0,5.88
